ID,average_daily_total,Week_01_avg,Week_01_total,Week_02_avg,Week_02_total,Week_03_avg,Week_03_total,Week_04_avg,Week_04_total,Week_05_avg,Week_05_total,Week_06_avg,Week_06_total,Week_07_avg,Week_07_total,Week_08_avg,Week_08_total,Week_09_avg,Week_09_total,Week_10_avg,Week_10_total,Week_11_avg,Week_11_total,Week_12_avg,Week_12_total,Week_13_avg,Week_13_total,Week_14_avg,Week_14_total,Week_15_avg,Week_15_total,Week_16_avg,Week_16_total,Week_17_avg,Week_17_total,Week_18_avg,Week_18_total,Week_19_avg,Week_19_total,Week_20_avg,Week_20_total,Week_21_avg,Week_21_total,Week_22_avg,Week_22_total,Week_23_avg,Week_23_total,Week_24_avg,Week_24_total,Week_25_avg,Week_25_total,Week_26_avg,Week_26_total,Week_27_avg,Week_27_total
139,13659.7,11826.0,35478.0,14153.57,99075.0,24077.5,144465.0,9015.67,54094.0,,,8618.5,51711.0,12085.17,72511.0,19093.83,114563.0,16833.29,117833.0,15839.83,95039.0,11048.57,77340.0,11816.17,70897.0,13392.5,80355.0,15274.43,106921.0,16318.67,97912.0,10699.0,64194.0,16580.67,99484.0,6904.0,20712.0,17103.71,119726.0,11227.14,78590.0,15093.86,105657.0,6723.5,40341.0,1543.0,1543.0,,,,,,,,
140,10368.56,7577.0,30308.0,10268.8,51344.0,9471.43,66300.0,8595.57,60169.0,7100.14,49701.0,8608.83,51653.0,10553.14,73872.0,9251.71,64762.0,13048.14,91337.0,11771.57,82401.0,6225.2,31126.0,10665.29,74657.0,9225.17,55351.0,10866.67,65200.0,12437.2,62186.0,12110.0,72660.0,12135.14,84946.0,11592.43,81147.0,9632.0,67424.0,13440.57,94084.0,11189.67,67138.0,10547.57,73833.0,,,,,,,,,,
141,11845.38,5034.0,20136.0,16605.29,116237.0,12927.14,90490.0,12520.33,75122.0,10443.0,62658.0,10717.83,64307.0,12096.57,84676.0,18873.71,132116.0,16904.0,118328.0,12634.86,88444.0,10435.14,73046.0,11427.86,79995.0,12916.71,90417.0,13749.57,96247.0,14004.33,84026.0,11448.0,68688.0,11019.71,77138.0,7954.17,47725.0,7407.83,44447.0,7403.0,44418.0,12201.14,85408.0,7907.5,47445.0,2376.0,2376.0,,,,,,,,
142,13590.33,12851.0,51404.0,10745.43,75218.0,23228.57,162600.0,8292.86,58050.0,7563.67,45382.0,10681.29,74769.0,11636.29,81454.0,17899.71,125298.0,14810.0,103670.0,14080.33,84482.0,16932.0,33864.0,10852.86,75970.0,14863.71,104046.0,18850.2,94251.0,18300.2,91501.0,12195.43,85368.0,10920.29,76442.0,11243.43,78704.0,20593.17,123559.0,14127.86,98895.0,15068.29,105478.0,8674.57,60722.0,11519.0,11519.0,,,,,,,,
143,11546.98,10882.25,43529.0,4040.67,24244.0,15416.43,107915.0,11472.0,57360.0,,,,,,,9001.0,9001.0,18741.67,112450.0,6339.75,25359.0,29443.0,29443.0,,,3198.5,12794.0,1491.0,1491.0,5460.0,5460.0,16111.29,112779.0,12945.0,51780.0,9192.5,18385.0,,,,,,,,,,,,,,,,,,
145,13359.89,,,8318.0,24954.0,14640.14,102481.0,8989.43,62926.0,10550.5,21101.0,7622.5,45735.0,12779.67,76678.0,18637.0,111822.0,14680.0,102760.0,16274.2,81371.0,11433.29,80033.0,15054.29,105380.0,15444.0,108108.0,18367.14,128570.0,13838.29,96868.0,11565.29,80957.0,12422.5,74535.0,12733.57,89135.0,19637.86,137465.0,14093.29,98653.0,13084.43,91591.0,7439.43,52076.0,3666.0,3666.0,,,,,,,,
150,14133.71,8949.67,53698.0,17605.14,123236.0,24375.0,170625.0,8304.14,58129.0,3486.14,24403.0,8787.0,52722.0,11537.57,80763.0,14132.29,98926.0,16857.29,118001.0,15268.43,106879.0,12823.43,89764.0,14442.57,101098.0,17123.29,119863.0,18678.86,130752.0,17009.86,119069.0,11197.43,78382.0,16836.14,117853.0,11609.57,81267.0,20173.14,141212.0,14922.29,104456.0,14213.0,99491.0,13776.0,96432.0,10394.4,51972.0,,,,,,,,
152,11423.69,9521.0,28563.0,10209.71,71468.0,10928.67,65572.0,9873.67,29621.0,11762.5,70575.0,12743.57,89205.0,11453.0,80171.0,12711.86,88983.0,8981.86,62873.0,13169.14,92184.0,12395.86,86771.0,11304.0,56520.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,12338.51,7059.0,35295.0,8428.4,42142.0,11181.83,67091.0,8679.57,60757.0,8490.86,59436.0,8491.5,33966.0,12398.0,61990.0,3546.67,10640.0,14820.14,103741.0,15614.71,109303.0,12827.43,89792.0,11385.17,68311.0,15550.14,108851.0,16738.25,66953.0,15836.0,95016.0,,,13121.0,65605.0,13082.8,65414.0,18245.17,109471.0,14995.83,89975.0,16198.14,113387.0,8078.86,56552.0,3949.0,3949.0,,,,,,,,
155,13960.68,7922.17,47533.0,14229.57,99607.0,13267.67,79606.0,10298.29,72088.0,11045.0,55225.0,2615.0,2615.0,12633.57,88435.0,18527.86,129695.0,18456.33,110738.0,12956.86,90698.0,12856.33,77138.0,14438.17,86629.0,17832.0,124824.0,16651.0,116557.0,14826.71,103787.0,12827.4,64137.0,14701.43,102910.0,11646.57,81526.0,21267.43,148872.0,14792.86,103550.0,14526.14,101683.0,7525.86,52681.0,,,,,,,,,,
156,12795.09,8587.0,8587.0,15165.86,106161.0,12374.43,86621.0,6798.43,47589.0,7645.14,53516.0,10241.5,61449.0,11872.29,83106.0,18247.29,127731.0,16691.57,116841.0,13560.17,81361.0,11859.83,71159.0,6568.5,39411.0,9676.67,58060.0,17992.43,125947.0,17979.67,107878.0,9799.2,48996.0,12685.29,88797.0,13780.14,96461.0,18045.29,126317.0,14396.86,100778.0,17383.14,121682.0,6436.29,45054.0,606.0,606.0,,,,,,,,
157,13385.89,8718.25,34873.0,17426.0,121982.0,4642.86,32500.0,9963.57,69745.0,13611.6,68058.0,8007.0,8007.0,13305.29,93137.0,14254.0,99778.0,14160.86,99126.0,14259.29,99815.0,13327.14,93290.0,14570.0,101990.0,14549.67,87298.0,17081.67,102490.0,18818.0,94090.0,12420.2,62101.0,14392.86,100750.0,17130.33,51391.0,2243.0,2243.0,12759.33,76556.0,,,,,,,,,,,,,,
158,9966.09,6127.5,24510.0,9662.0,67634.0,10002.67,60016.0,5279.0,10558.0,,,4331.5,8663.0,6876.0,13752.0,7634.0,45804.0,15106.5,90639.0,7980.0,39900.0,11484.5,68907.0,7017.0,28068.0,,,4789.75,19159.0,12985.6,64928.0,11303.8,56519.0,7493.86,52457.0,11027.8,55139.0,10506.83,63041.0,13247.67,79486.0,14139.0,42417.0,12519.0,75114.0,,,,,,,,,,
